"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"7x18",0.0100717136068049,0.0546576034422894,0.0135011348076446,0.000555863500013943,0.000937054549035683,0.0586292142203944,0.00111917522365296,0.826287001475116,0.0342412391750485
"22x19",0.00846706901034106,0.0678218138921626,0.0051123774832691,0.000194885459275013,0.00100628048033514,0.0262483888704442,0.00299556304905659,0.72029661880942,0.167857002945696
"11x19",0.0048923213667338,0.0400617062003809,0.00114586061630591,3.25295297939369e-05,0.000494892478609285,0.0387301532426153,0.000696756593083223,0.881067770078525,0.0328780098939525
"16x19",0.0092451132681276,0.0391851451985099,0.0163542663437167,4.697719578387e-05,0.000220571158022127,0.0308920869663667,0.000469470412733231,0.755937225175329,0.147649144281411
"27x19",0.0168016456047447,0.0916925816439193,0.00582249232592369,6.1515393041858e-05,0.00037593342163714,0.0540631792681873,0.000964492759842694,0.721182042320658,0.109036117262046
"30x19",0.0196221549855302,0.0848965958584819,0.0106935736932426,0.000862727312163669,0.00267967506060362,0.0951292347494765,0.0096755862584319,0.608316262150061,0.168124189932009
"10x19",0.0180267618296165,0.0625426730004937,0.00330418313328009,0.00029503342864189,0.00304243537537221,0.0921178086154297,0.00100560257730154,0.763690126002756,0.0559753760371083
"29x19",0.00961971786440521,0.067268419789972,0.0111347670404143,0.000121393805382322,0.00188271478846586,0.0601971158412564,0.00118372874453898,0.744054802057489,0.104537340068076
"26x19",0.0157774688963533,0.0834260916694203,0.00776224511744383,2.52666210400394e-05,0.000345721040360414,0.0564032978115144,0.0103758113027397,0.646021483152841,0.179862614388287
"25x19",0.018435159131709,0.0990349502847882,0.00408283558951519,0.00149566780152247,0.00302313226164709,0.0363184963238623,0.00180958634397153,0.744236481239022,0.0915636910239626
"28x19",0.0172227211144946,0.079082770014138,0.00849669501119539,0.00152832744055158,0.00233058478788576,0.0328455276527084,0.00363726968613527,0.678371622187232,0.176484482105659
"17x19",0.0148124404442882,0.0684326765169087,0.0120544071442744,7.23263029282016e-06,0.00030549762461599,0.0413065322164818,0.0014656620035705,0.721723167294046,0.139892384125522
"20x19",0.00419615888197423,0.062891750633059,0.000508577099385642,8.01823160569401e-05,0.000137210034729959,0.0265579116617953,3.38242223087437e-05,0.900034693150797,0.00555969199989353
"21x19",0.00112374679330728,0.0900129359420664,5.96213220442678e-05,6.05915383712595e-07,5.90250049738101e-06,0.0180167472241378,2.05526168760473e-05,0.889335871043217,0.00142401664246987
"9x19",0.0117264377528824,0.0675400957867879,0.00158515379787781,0.00014706180453525,0.000956507207805379,0.0890260565770165,0.000321854288471653,0.809567464662968,0.0191293681216552
"8x19",0.000473218877686909,0.015828400492286,0.000330666289964455,2.19856498962721e-06,8.68098873964896e-06,0.0368196982890177,1.82130645081163e-05,0.945609458279626,0.000909465153181807
"15x19",0.0115701738013982,0.0465664964591927,0.00336879770101919,0.000122220414767507,0.000249864340970819,0.0227519385979412,0.0015631658685424,0.786556443653604,0.127250899162564
"19x19",0.00482206832066924,0.0908641399533821,0.00184633821384413,9.66542803999117e-05,0.000684811206827214,0.0301610287066947,0.000546314536105169,0.777095926407206,0.0938827183748718
"6x19",0.00476980251520422,0.0577340470429328,0.00319535264992479,0.000397129270244078,0.0015367432369361,0.05325198398393,0.000160135502445675,0.87049944727723,0.00845535852115244
"5x19",0.00306453547918633,0.0492283759360315,0.0030453059322828,0.000183415625004397,0.000479357239566306,0.0618469032432545,5.89709355893299e-05,0.872068662951799,0.010024472657286
"18x19",0.0116733683390963,0.0861746670056258,0.00854197145782975,3.23839158654525e-05,0.000490279907593392,0.0524706814351054,0.000383326073801237,0.76344800800122,0.076785313863863
"23x19",0.0185981021992722,0.0335940746012894,0.00536595274615914,0.00068889907751461,0.00645660469505874,0.0233992067746702,0.00532637711492052,0.817191965053505,0.0893788177376106
"14x19",0.00209415418636883,0.056802117723406,0.000808175461024767,1.83941000569773e-05,2.75819192831116e-05,0.0183406369285964,0.00035069065481208,0.899982770805336,0.0215754782211161
"24x19",0.00913408437668079,0.086511824898272,0.00241844609945071,0.000111108429454647,0.000565062221465305,0.0417238270422967,0.00184455170587464,0.723677052534056,0.134014042692449
"7x19",0.00456399655779333,0.0521007758768951,0.00304881667333567,0.000128335852190905,0.000442106929983835,0.0259513941519415,0.000231706019219537,0.90183519844728,0.0116976694913595
"12x19",0.000381399851237276,0.0268195708316014,0.000200330817827472,1.46402742528808e-05,2.58568449865089e-05,0.0172309746998385,9.27507374431611e-06,0.953799994261541,0.00151795734497087
"13x19",0.00155582807304079,0.057933250121154,0.000327523863549562,2.85789288980469e-05,6.16104233793257e-05,0.0226077403352703,8.07853684213256e-05,0.909540074256366,0.00786460862992118
"29x20",0.0288467067480035,0.0880930386815377,0.0340887310365921,0.00115283763023326,0.0116190431862864,0.0634418306488284,0.00385940372090584,0.607232198315332,0.161666210032281
"22x20",0.01613419856197,0.0835546518944623,0.0177014585471437,0.0015007348141818,0.00446314475282647,0.0562370053109758,0.00409621574868326,0.755764472809079,0.0605481175606772
"11x20",0.0261713803688278,0.0914313548864483,0.00658328011453716,0.000118870970369789,0.00175520606381903,0.0609924320740873,0.000848815246999118,0.77105563382775,0.0410430264471619
"30x20",0.0258148566258784,0.105245033424387,0.0178108221964397,0.000632466965871565,0.00206803024806641,0.0969368521334894,0.00565405551756385,0.523034490675124,0.22280339221318
"10x20",0.00484997751829521,0.0622743108707967,0.00388995541249954,0.000385782751619377,0.00164747675221332,0.0685007439540719,0.0010352193088257,0.659564568443675,0.197851964988003
"21x20",0.0021058636837031,0.099213075512017,0.00152358212578395,4.68250624028099e-05,0.000175884842763688,0.0648862851993712,0.000157961709674811,0.780047139187371,0.0518433826769124
"31x20",0.0158101327938391,0.146984558493216,0.0116486480167975,0.000423080218580235,0.00434934919774048,0.0640758806070302,0.00614299119364545,0.504303094184153,0.246262265294997
"28x20",0.0068251425207498,0.049429325414392,0.00481680063190911,1.66596720571565e-06,2.21408571857257e-05,0.0333580903170949,0.00213046677393249,0.818651273213025,0.0847650943045056
"20x20",0.0126123844734863,0.120809226584607,0.00299401626192812,7.53833899949083e-05,0.000941601359098611,0.0652676451246067,0.00111650324149229,0.691939814863408,0.104243424701378
"27x20",0.0116213505783997,0.208742313855493,0.00413838935804248,2.48865174273486e-05,0.000461480201555629,0.0639158145687531,0.00155602889584179,0.534727226890386,0.174812509134102
"23x20",0.010372863968267,0.106474443326598,0.00832428206792384,0.000122523264363558,0.000762730780978665,0.0608835217170078,0.00235458728478577,0.697929515686411,0.112775531903664
"25x20",0.00418805606770543,0.10121777257806,0.00426580616058666,1.92322970326474e-05,0.000141537078464198,0.0440921634981106,0.000976520918514151,0.715115318201168,0.129983593200359
"15x20",0.00964855699768952,0.0410735355092458,0.00271949416662591,3.67611388212055e-05,0.000252152888014637,0.0531788378539518,0.00217707139972895,0.793676133796614,0.0972374562493081
"19x20",0.0138207186622139,0.0471300085752966,0.00281577279587956,0.000166828044810406,0.00151648004151769,0.0715386352473915,0.000311760240291862,0.779319911929465,0.0833798844631335
"4x20",0.0112204823152562,0.0556093219726879,0.0111069936799537,0.00320917160308154,0.0071682143632735,0.0739001988408462,0.0096820356700356,0.694140754900366,0.133962826654499
"17x20",0.00917566686658159,0.0808829834144562,0.00351971017442849,1.74224077767808e-05,8.42871281255351e-05,0.103322395134155,0.000800795481437025,0.745210065853552,0.0569866735394876
"24x20",0.0100234761338285,0.0582421010829701,0.0125960838397371,1.13317335531003e-05,0.000197995523880593,0.0291964481205994,0.000171835417103597,0.748298723838098,0.14126200431023
"8x20",0.000668558136452295,0.0526080509350904,0.000324440918722508,7.87764753504991e-06,3.34102570149035e-05,0.0210429943245231,0.000927784326527022,0.886057560099743,0.0383293233543917
"14x20",0.0041790075290532,0.0177159695767599,0.00262904576148649,0.000105584853038517,0.000492404016708191,0.0490187145316856,0.00152007018271904,0.737239955107442,0.187099248441107
"18x20",0.00468813790561359,0.0823307910225883,0.00769132901347069,0.000130256589087311,0.00153025992427956,0.0396121436842346,0.00262591288302934,0.717782661710409,0.143608507267287
"6x20",0.0096728125785747,0.0808042129260954,0.00495043099488239,0.000208511580547948,0.00218047554845897,0.069230951658005,0.000653566247195643,0.797412941772412,0.0348860966938279
"9x20",0.0151413103318547,0.0622060540807396,0.00566084201441903,0.00012859996962583,0.0024594415312591,0.0780786647568062,0.00462304995990085,0.739522824629482,0.0921792127259127
"7x20",0.00242578012432743,0.0661533518331687,0.00489195445050111,4.6383472960525e-05,0.00020557475913864,0.0996722187447852,0.000314121034718768,0.788076430516382,0.0382141850640179
"12x20",0.0189907589731402,0.057073857610937,0.0050016138864266,2.63163456701372e-05,0.000426358369085887,0.0347139862981482,0.000830341109307134,0.815484034481189,0.0674527329260961
"13x20",0.00501647510174856,0.0198896573896016,0.00427598071063651,6.56603109918887e-05,0.000867569527342063,0.0622302028539377,0.000508655496228161,0.844141410610384,0.06300438799913
"5x20",0.00743803034500829,0.0616976945197372,0.00538867309187036,0.000145518196947152,0.000820031341859285,0.0987482700114932,0.00149432337423068,0.778748765471517,0.0455186936473368
"16x20",0.00451308835560128,0.0547869612730176,0.00352458349422663,7.41222487508963e-06,1.65970689275497e-05,0.0113268291768136,3.92644753406402e-05,0.909467705769617,0.016317558161581
"26x20",0.00703060677227134,0.074907424573632,0.0021967335439081,0.000349548804028466,0.000915911816167092,0.0163929421241944,0.00204510527419262,0.799174685856087,0.0969870412355192
"22x21",0.00523071586615173,0.0752599129632939,0.00391038737253885,4.32763533765074e-05,0.000774325264056074,0.0712516174553118,0.000537052406098193,0.767894916406792,0.075097795912381
"32x21",0.0249809523830271,0.0496563070131675,0.014529441972727,0.00116136336621912,0.00216638358726935,0.0386418074451794,0.00269395849194343,0.777167647543943,0.089002138196524
"21x21",0.00743631284613577,0.0823607812252883,0.00849070670752297,0.000114616764996126,0.00111799158693377,0.0819311884550763,0.00134194450946588,0.690294657560199,0.126911800344382
"28x21",0.0171387988944614,0.124784070434979,0.0137432365354935,4.54364438036426e-05,0.000228316026282344,0.0838789382411156,0.00148283803958418,0.702695864302477,0.0560025010818027
"11x21",0.00627590600834271,0.0564891830773096,0.00320141665535043,0.000213592956275647,0.00131281920662191,0.0821408919713191,0.00264961480626944,0.653184459623733,0.194532115694778
"30x21",0.0290481528826616,0.104275339552515,0.0168022346802292,0.000882706052031177,0.00285384715518321,0.0859125507458799,0.00233852104548722,0.580609962515837,0.177276685370176
"18x21",0.0068272581933922,0.0823578714327508,0.00241294487515202,0.000280900988454699,0.000441990233543171,0.046250122436598,0.00101529858988001,0.734917684843996,0.125495928406233
"23x21",0.00920104622952591,0.0691859563052997,0.0116328272258877,0.000623208490706672,0.00306939577488603,0.0711849108281245,0.00799059592112411,0.702592367048188,0.124519692176257
"31x21",0.0433589975808244,0.102714922572452,0.017312928289806,0.000225554757897181,0.00241396124700529,0.079975078680637,0.00374118793116141,0.529279393230575,0.220977975709642
"20x21",0.037088294924349,0.0409668289946898,0.0110500601646981,5.80478982173822e-05,0.000892141309541015,0.0672960226640893,0.00279850361061128,0.71826874473388,0.121581355699924
"10x21",0.0116689207142185,0.0659018843572524,0.00321160932067952,0.000156272763193239,0.00106876539300694,0.0554528654555843,0.00839189275317551,0.687168578040977,0.166979211201913
"25x21",0.00118073307563284,0.125549756832672,0.00115255155449686,1.7997394604664e-05,5.56511472020446e-05,0.0736435011201875,0.000153775944218374,0.77183591642405,0.026410116506936
"9x21",0.0188126467030365,0.0705325743756108,0.00853360560153893,0.00021405167047384,0.000917224408045384,0.0687237946162726,0.000595059163604451,0.807128718272321,0.0245423251890968
"16x21",0.0357639925719892,0.0633821483438344,0.0029793432153286,0.000123018232846597,0.000476482159331306,0.0534818502844238,0.00208846373846745,0.770464381417236,0.0712403200365422
"29x21",0.0204644279858726,0.0928927428749204,0.0114475414979351,3.98627241395034e-05,0.000301318806260252,0.0694745453068059,0.00612114812327152,0.503630705913068,0.295627706767727
"26x21",0.00719497800321956,0.186726898790944,0.00134721487423544,3.83278896164819e-05,0.000164367135416837,0.0543548934461519,0.000193098755302228,0.728949333152979,0.0210308879521349
"14x21",0.0067501814032769,0.0474907317175051,0.0083478786599615,0.000412815821009968,0.000594056628456399,0.0567497557779349,0.00131266479544026,0.742452781127298,0.135889134069117
"17x21",0.00400454937379062,0.134989774023548,0.0052206917750767,3.7464855817526e-05,0.00014039922901847,0.0487924863699027,0.000333845043989221,0.720772555853874,0.085708233474983
"8x21",0.00493898187370429,0.0651244814517387,0.000839107215852504,7.90768713875281e-05,0.000542776728354604,0.0606450184461727,0.00463922964633314,0.757432996919693,0.105758330846764
"13x21",0.0197953150776531,0.138704445929687,0.00795306255638781,0.000812182638531925,0.00353703925783005,0.0961857359931658,0.00330048660385982,0.557389266485951,0.172322465456933
"24x21",0.00657993633233862,0.090426463233154,0.00327751957430873,9.31474334953103e-05,0.000701576048510019,0.0553282545072876,0.00020129174137067,0.803700714301239,0.039691096828296
"27x21",0.00402403931253395,0.144776035691374,0.00195627414972208,4.60206477786747e-05,0.000152646610376437,0.0700927912524865,0.000973877438082887,0.763126234313635,0.0148520805840098
"6x21",0.00847967491573221,0.0946445081224572,0.00135604496370438,9.66367756109393e-05,0.000242251557045822,0.0681628696729424,0.000188338799567871,0.823352294096109,0.00347738109683018
"12x21",0.00474290410767117,0.0602126213789744,0.00203807735180777,8.17415571655212e-05,0.000360537958369572,0.0620029313155892,0.00106384132910167,0.782476265229056,0.0870210797722647
"15x21",0.00251895016006088,0.0335058193681842,0.00167598415035876,7.89173987660553e-05,0.00010637518335552,0.0639316940377335,7.78946083739232e-05,0.879309232513083,0.0187951325800846
"5x21",0.0341844380793307,0.0652184149513467,0.00467983748978471,0.000552973801978836,0.00364232218084834,0.121601466037795,0.00700563043602295,0.656324678198033,0.10679023882486
"7x21",0.00290190985726705,0.0273963641160079,0.00188064526385657,1.41552944927125e-05,1.97887051199305e-05,0.0568108120069292,7.1964011337157e-05,0.897871900683709,0.0130324600612803
"19x21",0.000485182823018717,0.107259586605589,0.00195313912242199,2.90624832606671e-06,1.4571398329895e-05,0.00776773425076883,0.000267113826075565,0.870761299685439,0.0114884660400311
"11x22",0.00854882827588662,0.0376487440924144,0.00744414571693284,7.42802322860108e-05,0.000323180814401283,0.0539693746802313,0.00114447496483754,0.670296196048203,0.220550775174807
"22x22",0.0113025125252787,0.0798087634469139,0.00751366976649056,0.000213690324844025,0.00090315793586934,0.081914677226061,0.00170825464427207,0.678309690963133,0.138325583167138
"20x22",0.0222111024341332,0.07519287259428,0.0149247397356335,0.000646388698007198,0.00338691321298574,0.0642065673454965,0.00133164605991803,0.721219159347977,0.0968806105715687
"21x22",0.011155498491359,0.07991435077751,0.00438086812792233,0.000161965918133367,0.0019752555564604,0.0363262218895961,0.00122759036574682,0.789553643514167,0.0753046053591052
"27x22",0.0198127470991147,0.13475288110683,0.0110667464947233,0.000308985753015685,0.0017617369757354,0.108309131932282,0.00144196247518365,0.651560634825694,0.0709851733374208
"31x22",0.0220020070808568,0.101679707246716,0.0284688160542643,0.00322210658374437,0.00513642512521198,0.0930444838528285,0.00841642284365848,0.466281457554601,0.271748573658119
"19x22",0.00145319668067483,0.0822659727882818,0.00114884668596288,3.58852732407731e-07,6.0779088388349e-06,0.0247817115448656,5.44528415922309e-05,0.885056893405065,0.0052324892919867
"28x22",0.0152008009833433,0.123103917601909,0.0118512557892303,0.000246205139031133,0.00194984489202778,0.0975406629555292,0.00257204787865786,0.61787835758329,0.129656907176981
"26x22",0.00585936298590677,0.0605337902290076,0.000914237618927432,1.70386319075467e-05,0.000136399774271033,0.0261899432837539,0.000430930753219698,0.876748522985016,0.02916977373799
"9x22",0.000603911159324611,0.0410400970699476,0.00016221587276279,7.17071623920928e-06,7.38505612707037e-05,0.0113721164638527,0.000437428225174616,0.898542900859605,0.0477603090718232
"10x22",0.00189910529399922,0.0508706658790642,0.000284431616630268,1.40667622641593e-06,4.55140795264341e-06,0.0174163020297217,7.60355745958023e-06,0.928615711812178,0.000900221726767858
"16x22",0.00680870639858309,0.0885961767231761,0.00333076618701708,4.88743717609971e-05,0.000441962759640997,0.0976310203451054,0.000908364148473004,0.72096488593957,0.0812692431266733
"8x22",0.00822666842403666,0.0537870185421174,0.00397486301622991,9.4298032352857e-05,0.000412741140492592,0.0602792494661866,0.00153651157895239,0.785953852931249,0.0857347968683826
"17x22",0.00768506028341777,0.0716539700619987,0.00500879702712818,0.000316910576111546,0.00133037598821151,0.0476603314527312,0.000560409692685659,0.774805849812228,0.0909782951054876
"14x22",0.00561266140561061,0.052801550461065,0.00547887576680303,0.00023042763898754,0.00265641830838473,0.0213312538394848,0.00344764393920011,0.80079682781345,0.107644340827014
"15x22",0.00695523462143946,0.0603657472495253,0.0075311281179433,0.00101234537621633,0.00443116733916813,0.0487279174637893,0.000742961641076057,0.802584717999826,0.0676487801910164
"18x22",0.0116267442135066,0.0701598163778396,0.00801940249653799,6.47552066788503e-05,0.000554765504628373,0.0338744793895827,0.00049352339948788,0.708540250699124,0.166666262712614
"29x22",0.010528384141154,0.0953408207506572,0.00493551472809498,0.000285486403864086,0.00320522782804041,0.0712182798842622,0.00481830267951342,0.622332208467224,0.18733577511719
"6x22",0.0108247072570124,0.0906971880737587,0.00271630811206681,4.17245171556842e-05,0.000526685470495214,0.0475074426012015,0.00138325669084813,0.772236161143359,0.0740665261341027
"7x22",0.00810940497092917,0.0572174191169807,0.00510653456215942,0.0033144026674855,0.00926205496076237,0.0797820693177871,0.00415280858230425,0.743187841872353,0.0898674639492382
"12x22",0.0104553625766306,0.043653714417005,0.00290886888421745,0.000110860682757857,0.0011818644355352,0.0658553892228102,0.000834631095462122,0.670155428575064,0.204843880110518
