"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"6x11",0.00560362195063756,0.0175116556066231,0.00121659812482666,0.000786929637855349,0.00304493497529785,0.0129106181065616,0.00151541604489151,0.948337912901224,0.0090723126520819
"13x11",0.00519250267006999,0.0112163932288932,0.00415315562686691,0.000427167160654066,0.00151895905743416,0.0144901305944231,0.00122453339460793,0.936860798705705,0.0249163595613454
"14x11",0.006277956304693,0.012693764163142,0.00479942443532487,0.000615097223658881,0.0019338900236861,0.0284663545595827,0.00306338669391136,0.894625763504031,0.0475243630919703
"7x11",0.00574468372114311,0.0146368661242564,0.00379089133865981,0.000553586366182469,0.00134759144050368,0.0168244623872196,0.0015057234361389,0.950476995523154,0.00511919966274223
"10x12",0.00202491846494338,0.0062009541552421,0.00120214141667774,0.000441467865645343,0.000512083669412901,0.0233565848543753,0.000109524622879447,0.963796685251215,0.00235563969960841
"11x12",0.000794433121976993,0.00301358441216486,0.00109044727405524,9.47643784396016e-05,0.00032712109809417,0.00716649781903037,0.000136639433726247,0.985280372467649,0.00209613999486392
"16x12",0.000772355297991636,0.0030191636655833,0.000951269338514261,5.87426953690398e-05,0.000315926822149038,0.010118282085101,0.00012457294159418,0.983881311236165,0.000758375917532254
"21x12",0.00269572707107213,0.00748784379871839,0.00310577761734523,0.000300706040707435,0.000458162347224426,0.0159892357642266,0.000228743724115607,0.96727564297875,0.00245816065784018
"7x12",0.00273503968624553,0.00793872719265726,0.00240823765671398,0.000416246963977511,0.00107974707916108,0.0116283225098145,0.00121644847678329,0.967103385333223,0.00547384510142366
"18x12",0.00522065241938254,0.00819055139339943,0.00264775448482402,0.000315008776648395,0.000966195877683356,0.0136722754392215,0.00112449290821104,0.933603605543196,0.0342594631574333
"8x12",0.0014301176921931,0.006422291239514,0.000752469898606966,0.000294998296954683,0.00054796819001999,0.0150250070952536,0.000225960865608066,0.971484248788681,0.00381693793316883
"19x12",0.00456113602789156,0.00829976143807687,0.00223478052900636,0.000295289728545667,0.00229016350077313,0.0309626685390052,0.000657207892681138,0.947326413955644,0.00337257838837614
"15x12",0.0039097243310274,0.0128963054415743,0.00165309070473718,0.000238308588882648,0.00164339372153303,0.0129173988276644,0.000456459299025046,0.961398939337944,0.00488637974761224
"17x12",0.00859949628255067,0.0108035401279002,0.00807596411005858,0.00100696812014467,0.00280098886998189,0.0376169385069052,0.00265417817038723,0.873927862697925,0.0545140631141469
