"","X","Endothelial","CAFs","PVL","B.cells","T.cells","Myeloid","Normal.Epithelial","Plasmablasts","Cancer.Epithelial","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"41","BC23803_E1_17x15",0.0248842460840228,0.134060245632211,0.0501140060849348,0.125017614669096,0.0311536145891534,0.233417433912183,0.183605733107538,0.0106116283763101,0.20713547754455,"BC23803_E1","17x15",0.20713547754455,0.209058497801169,0.16678285763456,0.417023167019721
"42","BC23803_E1_14x15",0.0181561800538718,0.121293325931035,0.0572962751347361,0.286738886736142,0.060144663340716,0.138605614789811,0.0420097859788461,0.185421009669421,0.0903342583654211,"BC23803_E1","14x15",0.0903342583654211,0.196745781119643,0.532304559746279,0.180615400768657
"43","BC23803_E1_15x15",0.0753301893267079,0.076163482497021,0.0671209085589603,0.43011157529308,0.0556836047448284,0.0892819140070994,0.130853675248577,0.00198740648016964,0.0734672438435561,"BC23803_E1","15x15",0.0734672438435561,0.218614580382689,0.487782586518078,0.220135589255676
"44","BC23803_E1_18x15",0.0338572152260211,0.0863113041357543,0.0450127316467178,0.0876667690803663,0.02084231998829,0.361226043643307,0.177551829675884,0.0246338076990001,0.16289797890466,"BC23803_E1","18x15",0.16289797890466,0.165181251008493,0.133142896767656,0.538777873319191
"45","BC23803_E1_31x16",0.0690609545251811,0.169799240094928,0.0553439837150425,0.152760228360243,0.0395114656287129,0.170247216401787,0.115865872509533,0.0838723685474899,0.143538670217082,"BC23803_E1","31x16",0.143538670217082,0.294204178335152,0.276144062536446,0.28611308891132
"46","BC23803_E1_20x16",0.0479509237423787,0.173372702479952,0.071003464627114,0.0923882513652969,0.00733774325706221,0.34168743822892,0.142800041649833,0.0150962396362521,0.108363195013191,"BC23803_E1","20x16",0.108363195013191,0.292327090849445,0.114822234258611,0.484487479878753
"47","BC23803_E1_30x16",0.0392676581348677,0.137820809434039,0.0846426546736056,0.220267710680231,0.0457338705442994,0.131593846763999,0.155313711381862,0.0580898196850653,0.127269918702032,"BC23803_E1","30x16",0.127269918702032,0.261731122242512,0.324091400909596,0.286907558145861
"48","BC23803_E1_24x16",0.0512861282821153,0.126871032326791,0.0678626528111493,0.0905262649147985,0.0478753670179826,0.259801524050427,0.125841288883212,0.0583125116454757,0.171623230068049,"BC23803_E1","24x16",0.171623230068049,0.246019813420056,0.196714143578257,0.385642812933639
"49","BC23803_E1_27x16",0.0587436439818547,0.0960742721726541,0.0326467154249449,0.304042834315917,0.054067828685936,0.116983002607764,0.171242591490044,0.0164750432257081,0.149724068095177,"BC23803_E1","27x16",0.149724068095177,0.187464631579454,0.374585706227561,0.288225594097808
"50","BC23803_E1_22x16",0.0853189804640835,0.130743569405151,0.0604512257148678,0.0380740226432174,0.0344493085230489,0.162933315267722,0.222063964855997,0.0173626801880058,0.248602932937907,"BC23803_E1","22x16",0.248602932937907,0.276513775584102,0.0898860113542721,0.384997280123719
"51","BC23803_E1_29x16",0.0475742092995054,0.173644957157235,0.0911650234823345,0.152781437684824,0.0344367427192721,0.14265204311921,0.156241410036558,0.0480820605329851,0.153422115968076,"BC23803_E1","29x16",0.153422115968076,0.312384189939075,0.235300240937081,0.298893453155768
