"","X","Endothelial","CAFs","PVL","Plasmablasts","T.cells","Myeloid","Cancer.Epithelial","Normal.Epithelial","B.cells","sid","X1","invasive.cancer","stroma","lymphocyte","others"
"12","BC23272_D2_6x6",0.00584137630818885,0.15622813210004,0.0270442024873343,0.158948096922138,0.0148440532173514,0.0510684951487772,0.48375946802348,0.0923207549213987,0.00994542087129151,"BC23272_D2","6x6",0.48375946802348,0.189113710895563,0.183737571010781,0.143389250070176
"13","BC23272_D2_10x6",0.00497411121546474,0.0436860337992673,0.00970736369734027,0.102353568802012,0.0066336961086034,0.0677141418282875,0.671528864970197,0.0426598508745897,0.0507423687042384,"BC23272_D2","10x6",0.671528864970197,0.0583675087120723,0.159729633614854,0.110373992702877
"14","BC23272_D2_11x7",0.0240709011551822,0.19686799830771,0.0405415546985041,0.156597428617579,0.0147373369186914,0.073291070325098,0.392663672334344,0.0734911130884952,0.0277389245543965,"BC23272_D2","11x7",0.392663672334344,0.261480454161396,0.199073690090667,0.146782183413593
"15","BC23272_D2_7x7",0.00397247853765911,0.0844098663438497,0.00403890830230907,0.302757878245773,0.0124686706325139,0.0121017172672343,0.452373522402917,0.102069031963267,0.0258079263044763,"BC23272_D2","7x7",0.452373522402917,0.0924212531838179,0.341034475182763,0.114170749230501
"16","BC23272_D2_9x7",0.00623382245843666,0.146802208952475,0.0119037862421225,0.407629438062905,0.0189893964681701,0.0490505108419336,0.276178016578454,0.0588883399116522,0.0243244804838511,"BC23272_D2","9x7",0.276178016578454,0.164939817653034,0.450943315014926,0.107938850753586
"17","BC23272_D2_8x7",0.0041142520488725,0.179810833669187,0.0217312952769306,0.247404588745691,0.0252034681803392,0.0600688926049024,0.2787869591731,0.0659155589191729,0.116964151381804,"BC23272_D2","8x7",0.2787869591731,0.20565638099499,0.389572208307834,0.125984451524075
"18","BC23272_D2_10x7",0.0104230067197921,0.116291633118824,0.0941495557735592,0.275971940997269,0.0258553262465758,0.0369308242171228,0.320086467313794,0.071352603378688,0.0489386422343753,"BC23272_D2","10x7",0.320086467313794,0.220864195612175,0.35076590947822,0.108283427595811
"19","BC23272_D2_6x7",0.00294971526405858,0.128746991538994,0.0065613675230523,0.209075916475202,0.0079720750898625,0.0477132945840497,0.52035167546703,0.0599191054703834,0.0167098585873674,"BC23272_D2","6x7",0.52035167546703,0.138258074326105,0.233757850152432,0.107632400054433
"20","BC23272_D2_5x7",0.00151610648524376,0.0554772695671209,0.00228764251061061,0.356433934626432,0.00240158917798092,0.0404654522538902,0.491914136641524,0.047227080148723,0.00227678858847472,"BC23272_D2","5x7",0.491914136641524,0.0592810185629753,0.361112312392888,0.0876925324026132
"21","BC23272_D2_12x7",0.011875041351021,0.160370627482175,0.113195593219606,0.0919703444571982,0.0131990794824657,0.0696540413833817,0.462437292945289,0.063829323828551,0.0134686558503118,"BC23272_D2","12x7",0.462437292945289,0.285441262052802,0.118638079789976,0.133483365211933
"22","BC23272_D2_4x7",0.00037799421293755,0.0975525498129907,0.00203860156236521,0.084497544617767,0.00436628268267837,0.0346143777048263,0.714328111998279,0.0580083850805954,0.00421615232756093,"BC23272_D2","4x7",0.714328111998279,0.0999691455882935,0.0930799796280063,0.0926227627854217
